SMILES,CLUSTER
O=C(COc1ccccc1[N+](=O)[O-])NCCc1nc2ccccc2[nH]1,2.0
O=Cc1c(OCC(=O)NCCc2nc3ccccc3[nH]2)ccc2ccccc12,2.0
O=C(COc1ccc2ccccc2c1CO)NCCc1nc2ccccc2[nH]1,2.0
O=C(CCc1ccccc1Br)NCCc1nc2ccccc2[nH]1,2.0
O=C(CSc1ccccc1)NCCc1nc2ccccc2[nH]1,2.0
C=CCCn1c(CCNC(=O)COc2ccccc2Cl)nc2ccccc21,1.1.3
Cc1c(C=NNC(=O)c2ccc([N+](=O)[O-])cc2)no[n+]1[O-],1.1.2
O=C(NN=Cc1c(-c2ccccc2)no[n+]1[O-])c1ccc([N+](=O)[O-])cc1,1.1.2
Cc1ccc(SCCC=NNC2=NC(=O)C(C)S2)cc1,1.2
CC(C)=CCc1cc(CCC(=O)c2c(O)cc3c(c2O)CCC(C)(C)O3)ccc1O,1.1.1
CC1(C)CCc2cc(CCC(=O)c3c(O)cc4c(c3O)CCC(C)(C)O4)ccc2O1,1.1.1
CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NC(=O)c2ccncc2)C(C)C)nn1,1.3
C=CCn1c(C)c(C(=O)OCC)sc1=Nc1sc2c(c1C(=O)OCC)CCCC2,1.1.1
CCOC(=O)c1c(N=C2SC(CC(=O)O)C(=O)N2c2ccccc2)sc2c1CCCC2,1.2
C=CCN1C(=O)C(CC(=O)O)SC1=Nc1sc2c(c1C(=O)OCC)CCCC2,1.2
C=CCN1C(=O)C(CC(=O)O)SC1=Nc1sc2c(c1C(=O)OC(C)C)CCCC2,1.2
Clc1ccc2c(NCCCN3CCOCC3)ccnc2c1,1.1.3
Clc1ccc2c(NCCN3CCOCC3)ccnc2c1,1.1.3
OCCNc1ccnc2cc(Cl)ccc12,1.1.3
OCCCNc1ccnc2cc(Cl)ccc12,1.1.3
Clc1ccc2c(NCc3ccccc3)ccnc2c1,1.1.3
