SMILES,CLUSTER
CC(C)(F)CC(NC(c1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(F)(F)F)C(=O)NCC#N,3.0
CCC(C)C(C(=O)OC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C=CC(=O)N1C(=O)C=C(OC)C1C)N(C)C,1.2
COC1=CC(=O)N(C(=O)C=CC(C)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)OC(=O)C(C(C)C)N(C)C)C1C,1.2
CCC(C)C(C(=O)OC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C=CC(=O)N1C(=O)C=C(OC)C1Cc1ccccc1)N(C)C,1.2
COC1=CC(=O)N(C(=O)C=CC(C)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)OC(=O)C(Cc2ccccc2)N(C)C)C1Cc1ccccc1,1.2
CCC(C)C(C(=O)OC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C=CC(=O)N1C(=O)C=C(OC)C1CC(C)C)N(C)C,1.2
CCC(C)C(C(=O)OC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C=CC(=O)N1C(=O)C=C(OC)C1C)Cc1ccccc1)N(C)C,1.2
COC1=CC(=O)N(C(=O)C=CC(Cc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)OC(=O)C(Cc2ccccc2)N(C)C)C1C,1.2
CCC(C)C(C(=O)OC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C=CC(=O)N1C(=O)C=C(OC)C1Cc1ccccc1)Cc1ccccc1)N(C)C,1.2
COC1=CC(=O)N(C(=O)C=CC(Cc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)OC(=O)C(Cc2ccccc2)N(C)C)C1Cc1ccccc1,1.2
CCC(C)C(C(=O)OC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C=CC(=O)N1C(=O)C=C(OC)C1CC(C)C)Cc1ccccc1)N(C)C,1.2
COC1=CC(=O)N(C(=O)C=CC(Cc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)OC(=O)C(C(C)C)N(C)C)C1CC(C)C,1.2
C#CCCCCOC1=CC(=O)N(C(=O)C=CC(C)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)OC(=O)C(C(C)CC)N(C)C)C1C,1.2
Cc1ccc(C)c(SCC=NNC(N)=S)c1,1.3
CCOc1cccc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)c1,2.0
CCC(=NNc1nc(-c2ccccc2)c(C)s1)c1cccc(Br)c1,1.1.1
CCC(=NNc1nc(-c2ccc(Br)cc2)c(C)s1)c1cccc(Br)c1,1.1.1
Clc1ccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)cc1,1.1.5
Clc1ccc(Nc2nc(NCCN3CCOCC3)c3ccccc3n2)cc1,3.0
